Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
(millions)","Revenue 
Change","Profits
(millions)","Profit 
Change","Assets
(millions)","Market Value 
As of 3/31/22 (m)",,,,,,,,
281,Discover Financial Services,16700,-48 ,13221,2.1,5449.0 ,377.6,110242,31077,,,,,,,,
282,Rocket Companies,26000,-88 ,13176,-17.6,308.2 ,55.7,32775,21906,,,,,,,,
283,LKQ,46000,-17 ,13089,12.6,1090.9 ,70.9,12606,12941,,,,,,,,
284,W.W. Grainger,23450,-26 ,13022,10.4,1043.0 ,50.1,6592,26358,,,,,,,,
285,Quanta Services,43700,-7 ,12980,15.9,486.0 ,9.1,12855,18780,,,,,,,,
286,Crown Holdings,26000,-17 ,12979,12.1,-560.0 ,-196.7,13858,15461,,,,,,,,
287,Fox,9000,-40 ,12909,4.9,2150.0 ,115.2,22926,21423,,,,,,,,
288,Sempra,15390,-33 ,12857,7.7,1317.0 ,-66.5,72045,53088,,,,,,,,
289,Markel,20300,22 ,12846,32.0,2425.0 ,197.2,48449,20038,,,,,,,,
290,Carvana,21000,193 ,12814,129.4,-135.0 ,NULL,7015,19550,,,,,,,,
291,XPO Logistics,44700,-101 ,12806,-21.2,336.0 ,205.5,8707,8357,,,,,,,,
292,Baxter International,60000,-28 ,12784,9.5,1284.0 ,16.5,33521,39018,,,,,,,,
293,Ecolab,47000,-56 ,12733,-0.1,1129.9 ,NULL,21206,50548,,,,,,,,
294,Tractor Supply,34000,-3 ,12731,19.9,997.1 ,33.1,7768,26172,,,,,,,,
295,Andersons,2334,71 ,12729,55.1,104.0 ,1248.7,4569,1708,,,,,,,,
296,Keurig Dr Pepper,27500,-29 ,12683,9.2,2146.0 ,62.0,50598,53748,,,,,,,,
297,Universal Health Services,78850,-27 ,12642,9.4,991.6 ,5.0,13094,10843,,,,,,,,
298,CSX,20919,-6 ,12522,18.3,3781.0 ,36.7,40531,81588,,,,,,,,
299,Henry Schein,21600,-1 ,12401,22.6,631.2 ,56.3,8481,11960,,,,,,,,
300,Sonic Automotive,10200,8 ,12396,26.9,348.9 ,NULL,4975,1729,,,,,,,,
301,eBay,10800,-25 ,12394,9.2,13608.0 ,140.1,26626,33642,,,,,,,,
302,Textron,33000,-37 ,12382,6.3,746.0 ,141.4,15827,16091,,,,,,,,
303,Jones Financial (Edward Jones),50000,-8 ,12373,21.7,1605.0 ,24.9,32208,NULL,,,,,,,,
304,Community Health Systems,58500,-45 ,12368,4.9,230.0 ,-55.0,15217,1599,,,,,,,,
305,Mosaic,12525,41 ,12357,42.3,1630.6 ,144.8,22036,24493,,,,,,,,
306,Thor Industries,31000,62 ,12317,50.8,659.9 ,195.9,6654,4331,,,,,,,,
307,Dick's Sporting Goods,34300,13 ,12293,28.3,1519.9 ,186.6,9042,7987,,,,,,,,
308,Newmont,14400,-35 ,12222,6.3,1166.0 ,-58.8,40564,62968,,,,,,,,
309,Devon Energy,1600,211 ,12206,139.8,2813.0 ,NULL,21025,39274,,,,,,,,
310,Warner Bros. Discovery,11000,-20 ,12191,14.2,1006.0 ,-17.5,34427,12701,,,,,,,,
311,J.B. Hunt Transport Services,33045,4 ,12168,26.3,760.8 ,50.3,6794,21053,,,,,,,,
312,Alcoa,12200,18 ,12152,30.9,429.0 ,NULL,15025,16603,,,,,,,,
313,Peter Kiewit Sons',28800,-70 ,12149,-2.5,753.0 ,-8.8,6238,NULL,,,,,,,,
314,Aramark,248300,-79 ,12096,-5.7,-90.8 ,NULL,14376,9656,,,,,,,,
315,Vistra,5060,-41 ,12077,5.5,-1274.0 ,-300.3,29683,10435,,,,,,,,
316,State Street,38784,-64 ,12030,-0.4,2693.0 ,11.3,314624,31892,,,,,,,,
317,Unum Group,10200,-87 ,12014,-8.7,824.2 ,3.9,70116,6383,,,,,,,,
318,Alleghany,13313,21 ,12004,34.9,1034.9 ,917.1,32269,11396,,,,,,,,
319,Boston Scientific,41000,-14 ,11888,19.9,1041.0 ,NULL,32229,63310,,,,,,,,
320,Westlake,14550,68 ,11778,57.0,2015.0 ,510.6,18459,15785,,,,,,,,
321,Entergy,12369,-21 ,11743,16.1,1118.5 ,-19.4,59454,23760,,,,,,,,
322,International Flavors & Fragrances,24000,200 ,11656,129.3,270.0 ,-25.7,39658,33456,,,,,,,,
323,DaVita,69000,-52 ,11619,0.6,978.5 ,26.5,17122,10893,,,,,,,,
324,Mutual of Omaha Insurance,5739,-42 ,11459,3.3,579.0 ,-17.1,49853,NULL,,,,,,,,
325,Assurant,15600,-23 ,11410,13.0,1372.4 ,210.6,33912,10493,,,,,,,,
326,Liberty Media,6886,NULL,11400,21.8,398.0 ,NULL,44351,15239,,,,,,,,
327,Hormel Foods,20000,-10 ,11386,18.5,908.8 ,0.1,12696,28089,,,,,,,,
328,Icahn Enterprises,19536,125 ,11328,85.0,-518.0 ,NULL,27746,15237,,,,,,,,
329,Republic Services,35000,-32 ,11295,11.2,1290.4 ,33.4,24955,41842,,,,,,,,
330,Mohawk Industries,43000,-9 ,11201,17.3,1033.2 ,100.4,14225,8082,,,,,,,,
331,Conagra Brands,18600,-48 ,11185,1.2,1298.8 ,54.6,22196,16104,,,,,,,,
332,Norfolk Southern,18100,-25 ,11142,13.8,3005.0 ,49.3,38493,68389,,,,,,,,
333,AES,8450,-20 ,11141,15.3,-409.0 ,-989.1,32963,17172,,,,,,,,
334,AGCO,23300,-3 ,11138,21.7,897.0 ,110.0,9182,10885,,,,,,,,
335,Caesars Entertainment,49000,340 ,11110,219.8,-1019.0 ,NULL,38031,16565,,,,,,,,
336,Equitable Holdings,10000,-92 ,11036,-11.1,-439.0 ,NULL,292262,12041,,,,,,,,
337,Advance Auto Parts,54500,-36 ,10998,8.8,616.1 ,25.0,12194,12645,,,,,,,,
338,Biogen,9610,-110 ,10982,-18.3,1556.1 ,-61.1,23877,30950,,,,,,,,
339,Auto-Owners Insurance,6441,2 ,10980,24.0,1318.4 ,59.0,32487,NULL,,,,,,,,
340,Booking Holdings,20199,84 ,10958,61.2,1165.0 ,1874.6,23641,96023,,,,,,,,
341,Amphenol,90000,8 ,10876,26.5,1590.8 ,32.2,14678,45130,,,,,,,,
342,Quest Diagnostics,44500,-18 ,10788,14.3,1995.0 ,39.4,13611,16349,,,,,,,,
343,FirstEnergy,12395,-49 ,10758,3.1,1283.0 ,18.9,45432,26182,,,,,,,,
344,DCP Midstream,1788,98 ,10707,69.9,391.0 ,NULL,13380,6993,,,,,,,,
345,Ally Financial,10500,-58 ,10690,-0.8,3060.0 ,182.0,182114,14412,,,,,,,,
346,Delek US Holdings,3312,51 ,10648,45.8,-203.5 ,NULL,6728,1500,,,,,,,,
347,Williams,4783,32 ,10627,37.7,1517.0 ,619.0,47612,40670,,,,,,,,
348,Newell Brands,32000,-23 ,10589,12.8,572.0 ,NULL,14179,8902,,,,,,,,
349,Eastman Chemical,14000,6 ,10476,23.6,857.0 ,79.3,15519,14450,,,,,,,,
350,Air Products & Chemicals,20750,-10 ,10323,16.6,2099.1 ,11.3,26859,55409,,,,,,,,
351,Thrivent Financial for Lutherans,3256,18 ,10313,26.5,2530.2 ,297.2,116525,NULL,,,,,,,,
352,Molson Coors Beverage,16300,-38 ,10280,6.5,1005.7 ,NULL,27619,11632,,,,,,,,
353,Interpublic Group,55600,-19 ,10241,13.0,952.8 ,171.4,19909,13966,,,,,,,,
354,Weyerhaeuser,9214,33 ,10201,35.4,2607.0 ,227.1,17652,28315,,,,,,,,
355,Altice USA,9000,-49 ,10091,2.0,990.3 ,127.0,33215,5674,,,,,,,,
356,Raymond James Financial,15000,11 ,9910,21.3,1403.0 ,71.5,61891,22818,,,,,,,,
357,EMCOR Group,34000,-13 ,9904,12.6,383.5 ,188.5,5441,5932,,,,,,,,
358,Eversource Energy,9227,-20 ,9863,10.8,1220.5 ,1.3,48492,30403,,,,,,,,
359,Yum China Holdings,298500,4 ,9853,19.2,990.0 ,26.3,13223,17679,,,,,,,,
360,Asbury Automotive Group,14200,45 ,9838,37.9,532.4 ,109.3,8003,3715,,,,,,,,
361,Owens & Minor,17300,-16 ,9785,12.4,221.6 ,641.8,3537,3376,,,,,,,,
362,Public Service Enterprise Group,12684,-44 ,9722,1.2,-648.0 ,-134.0,48999,35146,,,,,,,,
363,United Rentals,20400,-11 ,9716,13.9,1386.0 ,55.7,20292,25643,,,,,,,,
364,MGM Resorts International,60500,153 ,9680,87.5,1254.4 ,NULL,40899,18258,,,,,,,,
365,Ryder System,42800,-8 ,9663,14.8,519.0 ,NULL,13834,4055,,,,,,,,
366,Intuit,17350,14 ,9633,25.4,2062.0 ,12.9,15516,135988,,,,,,,,
367,Cincinnati Financial,5166,19 ,9630,27.8,2945.6 ,142.2,31387,21813,,,,,,,,
368,Erie Insurance Group,5805,-21 ,9620,11.0,1130.1 ,-3.7,27297,NULL,,,,,,,,
369,Univar Solutions,9450,-7 ,9536,15.4,460.6 ,770.7,6778,5460,,,,,,,,
370,Huntington Ingalls Industries,44000,-43 ,9524,1.7,544.0 ,-21.8,10627,7991,,,,,,,,
371,W.R. Berkley,7681,1 ,9456,16.7,1022.5 ,92.7,32086,17659,,,,,,,,
372,Western & Southern Financial Group,2538,2 ,9442,17.2,361.2 ,76.7,62877,NULL,,,,,,,,
373,Insight Enterprises,11624,-13 ,9436,13.1,219.3 ,27.1,4689,3745,,,,,,,,
374,News Corp.,24000,-37 ,9358,3.9,330.0 ,NULL,16771,13128,,,,,,,,
375,American Tower,6378,NULL,9357,16.4,2567.7 ,51.9,69888,114527,,,,,,,,
376,Old Republic International,9600,25 ,9342,30.4,1534.3 ,174.7,24982,7973,,,,,,,,
377,Burlington Stores,38599,94 ,9322,61.7,408.8 ,NULL,7090,12113,,,,,,,,
378,Avis Budget Group,18500,120 ,9313,72.4,1285.0 ,NULL,22600,14157,,,,,,,,
379,ODP,26000,-67 ,9267,-4.6,-208.0 ,NULL,4865,2222,,,,,,,,
380,VF,33600,-117 ,9239,-21.0,407.9 ,-40.0,13754,22113,,,,,,,,
381,Bed Bath & Beyond,37600,-101 ,9233,-17.3,-150.8 ,NULL,6457,2171,,,,,,,,
382,Seaboard,13200,24 ,9229,29.5,570.0 ,101.4,7503,4882,,,,,,,,
383,First American Financial,22233,26 ,9221,30.1,1241.0 ,78.2,16451,7087,,,,,,,,
384,Intercontinental Exchange,8858,-19 ,9168,11.2,4058.0 ,94.3,193502,74045,,,,,,,,
385,PVH,25000,19 ,9155,28.4,952.3 ,NULL,12397,5210,,,,,,,,
386,Apollo Global Management,2153,552 ,9124,332.2,1838.5 ,1073.9,30502,37194,,,,,,,,
387,Jefferies Financial Group,5556,32 ,9040,30.0,1674.4 ,116.0,60404,7934,,,,,,,,
388,Hershey,17805,-18 ,8971,10.1,1477.5 ,15.5,10412,44462,,,,,,,,
389,NVR,6600,-6 ,8970,18.6,1236.7 ,37.2,5835,15011,,,,,,,,
390,Foot Locker,33244,-5 ,8958,18.7,893.0 ,176.5,8135,2850,,,,,,,,
391,Dana,40200,17 ,8945,25.9,197.0 ,NULL,7632,2544,,,,,,,,
392,SpartanNash,13300,-63 ,8931,-4.5,73.8 ,-2.8,2207,1185,,,,,,,,
393,Olin,7750,79 ,8911,54.8,1296.7 ,NULL,8518,8062,,,,,,,,
394,Chewy,21300,9 ,8891,24.4,-73.8 ,NULL,2086,17147,,,,,,,,
395,Jackson Financial,3150,NULL,8848,NULL,3183.0 ,NULL,375484,3895,,,,,,,,
396,Activision Blizzard,9800,-23 ,8803,8.9,2699.0 ,22.8,25056,62560,,,,,,,,
397,Toll Brothers,5100,14 ,8790,24.2,833.6 ,86.7,11538,5515,,,,,,,,
398,Carlyle Group,1850,360 ,8782,199.3,2974.7 ,754.3,21250,17428,,,,,,,,
399,Graybar Electric,8800,NULL,8767,20.7,262.4 ,115.4,3069,NULL,,,,,,,,
400,Ovintiv,1713,58 ,8658,42.2,1416.0 ,NULL,14055,13988,,,,,,,,
401,UFP Industries,15000,117 ,8636,67.6,535.6 ,117.1,3245,4791,,,,,,,,
402,Ulta Beauty,28500,49 ,8631,40.3,985.8 ,460.7,4764,20838,,,,,,,,
403,Constellation Brands,9300,-44 ,8615,3.3,1998.0 ,NULL,27105,43764,,,,,,,,
404,Expedia Group,14800,111 ,8598,65.4,12.0 ,NULL,21548,30477,,,,,,,,
405,CommScope Holding,30000,-49 ,8587,1.8,-462.6 ,NULL,13260,1630,,,,,,,,
406,Celanese,8529,71 ,8537,51.0,1890.0 ,-4.8,11975,15434,,,,,,,,
407,Global Payments,25000,-13 ,8524,14.8,965.5 ,65.2,45280,38546,,,,,,,,
408,Owens Corning,20000,5 ,8498,20.5,995.0 ,NULL,10015,9065,,,,,,,,
409,Campbell Soup,14100,-74 ,8476,-6.3,1002.0 ,-38.5,11734,13447,,,,,,,,
410,Huntsman,9000,50 ,8453,40.3,1045.0 ,1.1,9392,8047,,,,,,,,
411,Franklin Resources,10300,73 ,8426,51.4,1831.2 ,129.2,24168,14019,,,,,,,,
412,Avery Dennison,36000,5 ,8408,20.6,740.1 ,33.1,7972,14327,,,,,,,,
413,Masco,20000,-15 ,8375,14.9,410.0 ,-66.5,5575,12063,,,,,,,,
414,CenterPoint Energy,9418,-72 ,8352,-5.5,1486.0 ,NULL,37679,19286,,,,,,,,
415,Fifth Third Bancorp,19112,-57 ,8329,-0.9,2770.0 ,94.1,211116,29511,,,,,,,,
416,WEC Energy Group,6938,-16 ,8316,14.8,1300.3 ,8.4,38989,31484,,,,,,,,
417,S&P Global,22850,-24 ,8297,11.5,3024.0 ,29.3,15026,142344,,,,,,,,
418,FM Global,5560,5 ,8275,21.7,2842.4 ,64.1,32161,NULL,,,,,,,,
419,Polaris,16000,-12 ,8252,16.1,493.9 ,295.8,5048,6264,,,,,,,,
420,Williams-Sonoma,16600,5 ,8246,21.6,1126.3 ,65.5,4626,10376,,,,,,,,
421,Autoliv,58176,-29 ,8230,10.5,435.0 ,132.7,7537,6691,,,,,,,,
422,Arthur J. Gallagher,39000,-6 ,8209,17.2,906.8 ,10.7,33345,36599,,,,,,,,
423,Motorola Solutions,18700,-28 ,8171,10.2,1245.0 ,31.2,12189,40556,,,,,,,,
424,Zillow Group,8005,268 ,8147,143.9,-527.8 ,NULL,10696,12287,,,,,,,,
425,Opendoor Technologies,2816,394 ,8021,210.5,-662.0 ,NULL,9506,5364,,,,,,,,
426,J.M. Smucker,7100,-48 ,8003,2.6,876.3 ,12.4,16284,14686,,,,,,,,
427,Anywhere Real Estate,9748,18 ,7983,28.3,343.0 ,NULL,7210,1852,,,,,,,,
428,Oshkosh,15000,-6 ,7953,16.0,409.4 ,26.2,6722,6704,,,,,,,,
429,MasTec,27000,12 ,7952,25.8,328.8 ,1.9,7121,6657,,,,,,,,
430,GXO Logistics,97500,NULL,7940,NULL,153.0 ,NULL,7271,8193,,,,,,,,
431,APA,2253,164 ,7928,84.0,973.0 ,NULL,13303,14332,,,,,,,,
432,Boise Cascade,6130,61 ,7926,44.8,712.5 ,307.2,2573,2740,,,,,,,,
433,Dover,25000,-4 ,7907,18.3,1123.8 ,64.4,10404,22610,,,,,,,,
434,Genworth Financial,2500,-86 ,7882,-9.0,904.0 ,407.9,99171,1918,,,,,,,,
435,Bath & Body Works,32850,-178 ,7882,-33.5,1333.5 ,57.9,6026,11420,,,,,,,,
436,Booz Allen Hamilton Holding,27700,-45 ,7859,5.3,609.0 ,26.2,5500,11705,,,,,,,,
437,Coinbase Global,3730,NULL,7839,513.7,3624.1 ,1024.4,21274,41670,,,,,,,,
438,Zimmer Biomet Holdings,19500,-24 ,7836,11.6,401.6 ,NULL,23456,26772,,,,,,,,
439,Westinghouse Air Brake Technologies,25000,-55 ,7822,3.5,558.0 ,34.7,18454,17819,,,,,,,,
440,Zoetis,12100,-9 ,7776,16.5,2037.0 ,24.4,13900,89009,,,,,,,,
441,Packaging Corp. of America,15200,-8 ,7730,16.1,841.1 ,82.5,7837,14628,,,,,,,,
442,LPL Financial Holdings,5919,24 ,7721,31.5,459.9 ,-2.7,7992,14609,,,,,,,,
443,T. Rowe Price,7529,4 ,7672,23.6,3082.9 ,29.9,12509,34443,,,,,,,,
444,Fortune Brands Home & Security,28056,12 ,7656,25.7,772.4 ,39.6,7936,9831,,,,,,,,
445,Casey's General Stores,27583,-74 ,7654,-5.6,312.9 ,18.6,4460,7354,,,,,,,,
446,A-Mark Precious Metals,347,49 ,7613,39.4,159.6 ,423.2,1192,891,,,,,,,,
447,Hess,1545,96 ,7583,57.8,559.0 ,NULL,20515,33155,,,,,,,,
448,Vertex Pharmaceuticals,3900,NULL,7574,22.1,2342.1 ,-13.6,13433,66437,,,,,,,,
449,KeyCorp,16974,-53 ,7561,3.1,2625.0 ,95.5,186346,20593,,,,,,,,
450,Chipotle Mexican Grill,97660,14 ,7547,26.1,653.0 ,83.5,6653,44347,,,,,,,,
451,CMS Energy,8813,-21 ,7538,12.8,1353.0 ,79.2,28753,20292,,,,,,,,
452,Arconic,13900,24 ,7504,32.2,-397.0 ,NULL,6580,2691,,,,,,,,
453,Taylor Morrison Home,3000,-1 ,7501,22.4,663.0 ,172.4,8728,3302,,,,,,,,
454,American Financial Group,6600,-78 ,7462,-5.7,1995.0 ,172.5,28931,12368,,,,,,,,
455,UGI,11300,-19 ,7447,13.5,1467.0 ,175.8,16723,7599,,,,,,,,
456,Science Applications International,25090,-44 ,7394,4.8,277.0 ,32.5,5746,5166,,,,,,,,
457,Avantor,13500,-19 ,7386,15.5,572.6 ,391.1,13897,20629,,,,,,,,
458,Hanesbrands,58000,-26 ,7348,10.3,77.2 ,NULL,7071,5191,,,,,,,,
459,Clorox,9000,-32 ,7341,9.2,710.0 ,-24.4,6334,17109,,,,,,,,
460,KBR,28000,10 ,7339,27.3,18.0 ,NULL,6199,7635,,,,,,,,
461,TravelCenters of America,16540,79 ,7337,51.4,58.5 ,NULL,3509,638,,,,,,,,
462,Hertz Global Holdings,23000,46 ,7336,39.5,366.0 ,NULL,19783,9509,,,,,,,,
463,Analog Devices,24700,18 ,7318,30.6,1390.4 ,13.9,52322,86441,,,,,,,,
464,Securian Financial Group,6941,-43 ,7317,6.5,311.5 ,28.1,75169,NULL,,,,,,,,
465,Darden Restaurants,156883,-88 ,7196,-7.8,629.3 ,NULL,10656,16981,,,,,,,,
466,NCR,38000,-20 ,7156,15.3,97.0 ,NULL,11641,5475,,,,,,,,
466,Graphic Packaging Holding,25000,-31 ,7156,9.1,204.0 ,21.9,10457,6154,,,,,,,,
468,Brighthouse Financial,1500,-115 ,7142,-16.0,-108.0 ,NULL,259840,3959,,,,,,,,
469,PPL,5607,-87 ,7127,-6.3,-1480.0 ,-200.7,33223,21002,,,,,,,,
470,Cintas,40000,-60 ,7116,0.4,1111.0 ,26.8,8237,43567,,,,,,,,
471,Xerox Holdings,23300,-56 ,7038,0.2,-455.0 ,-337.0,13223,3123,,,,,,,,
472,Rockwell Automation,24500,-32 ,6997,10.5,1358.1 ,32.7,10702,32538,,,,,,,,
473,Citizens Financial Group,17463,-92 ,6986,-9.0,2319.0 ,119.4,188409,19136,,,,,,,,
474,KLA,11425,-6 ,6919,19.2,2078.3 ,70.8,10271,55171,,,,,,,,
475,Camping World Holdings,12834,21 ,6914,26.9,278.5 ,127.6,4373,2665,,,,,,,,
476,Ingredion,12000,-13 ,6894,15.1,117.0 ,-66.4,6999,5814,,,,,,,,
477,Veritiv,6100,-38 ,6851,8.0,144.6 ,322.8,2438,2008,,,,,,,,
478,Beacon Roofing Supply,6676,-58 ,6820,-1.8,243.0 ,NULL,5549,4176,,,,,,,,
479,Diamondback Energy,870,302 ,6797,141.6,2182.0 ,NULL,22898,24320,,,,,,,,
480,Victoria's Secret,24000,NULL,6785,NULL,646.4 ,NULL,4344,4330,,,,,,,,
481,Academy Sports and Outdoors,16508,-6 ,6773,19.1,671.4 ,117.4,4585,3434,,,,,,,,
482,Sanmina,33500,-64 ,6757,-2.9,269.0 ,92.5,4207,2569,,,,,,,,
483,ON Semiconductor,31650,26 ,6740,28.3,1009.6 ,331.1,9626,27079,,,,,,,,
484,Commercial Metals,11089,8 ,6730,22.9,412.9 ,47.7,4639,5057,,,,,,,,
485,EnLink Midstream,1073,145 ,6686,71.7,22.4 ,NULL,8483,4671,,,,,,,,
486,Southwestern Energy,938,407 ,6667,188.9,-25.0 ,NULL,11848,7990,,,,,,,,
487,Equinix,10944,-26 ,6636,10.6,500.2 ,35.3,27919,67281,,,,,,,,
488,Dillard's,25350,97 ,6624,49.4,862.5 ,NULL,3246,4928,,,,,,,,
489,Regions Financial,19626,-55 ,6605,-0.8,2521.0 ,130.4,162938,20861,,,,,,,,
490,Yum Brands,25650,-12 ,6584,16.5,1575.0 ,74.2,5966,34253,,,,,,,,
491,Landstar System,1399,115 ,6540,58.1,381.5 ,98.6,2046,5600,,,,,,,,
492,CF Industries Holdings,3003,117 ,6538,58.5,917.1 ,189.3,12375,21551,,,,,,,,
493,Northern Trust,21100,-50 ,6488,3.0,1545.3 ,27.8,183890,24215,,,,,,,,
494,Robert Half International,14600,25 ,6461,26.5,598.6 ,95.5,2952,12638,,,,,,,,
495,Compass,4775,151 ,6421,72.6,-494.1 ,NULL,1801,3359,,,,,,,,
496,Hasbro,6640,-2 ,6420,17.5,428.7 ,92.7,10038,11384,,,,,,,,
497,Roper Technologies,19300,-9 ,6416,16.1,1152.6 ,21.4,23714,49869,,,,,,,,
498,ARKO,11236,183 ,6413,88.1,59.2 ,348.9,2942,1134,,,,,,,,
499,Frontier Communications,15640,-97 ,6411,-10.4,NULL,NULL,16481,6763,,,,,,,,
500,Ameren,9116,-31 ,6394,10.4,990.0 ,13.7,35735,24199,,,,,,,,
