Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
(millions)","Revenue 
Change","Profits
(millions)","Profit 
Change","Assets
(millions)","Market Value 
As of 3/31/21 (m)"
139,Lumen Technologies,39000,4 ,20712,-7.5,-1232.0 ,NULL,59394,14643
140,Baker Hughes,55000,-11 ,20705,-13.1,-9940.0 ,-7865.6,38007,22495
141,International Paper,49300,3 ,20580,-8.0,482.0 ,-60.7,31718,21241
142,Hartford Financial Services Group,18500,18 ,20523,-1.0,1737.0 ,-16.7,74111,23863
143,Penske Automotive Group,23600,-7 ,20444,-11.8,543.6 ,24.7,13247,6486
144,DuPont,34000,8 ,20397,-5.2,-2951.0 ,-692.6,70904,41308
145,AutoNation,21600,9 ,20390,-4.4,381.6 ,-15.2,9887,7683
146,Southern,27700,7 ,20375,-4.9,3119.0 ,-34.2,122935,65679
147,World Fuel Services,4300,-56 ,20358,-44.7,109.6 ,-38.7,4500,2222
148,D.R. Horton,9716,35 ,20311,15.5,2373.7 ,46.7,18912,32413
149,Nucor,26400,-10 ,20140,-10.8,721.5 ,-43.2,20125,23976
150,Cummins,57825,-18 ,19811,-16.0,1789.0 ,-20.8,22624,37971
151,NGL Energy Partners,1400,-24 ,19771,-17.9,-397.0 ,-210.3,6499,264
152,DXC Technology,138000,3 ,19577,-7.6,-5369.0 ,-527.1,26006,7959
153,Union Pacific,30960,-4 ,19533,-10.0,5349.0 ,-9.6,62398,146948
154,Whirlpool,78000,8 ,19456,-4.7,1081.0 ,-8.7,20350,13832
155,Molina Healthcare,10500,38 ,19423,15.4,673.0 ,-8.7,9532,13647
156,ConocoPhillips,9700,-63 ,19256,-47.5,-2701.0 ,-137.6,62618,71623
157,McDonald's,200000,-1 ,19208,-8.9,4730.5 ,-21.5,52627,167113
158,Kimberly-Clark,46000,17 ,19140,3.7,2352.0 ,9.0,17523,47000
159,Paccar,26000,-41 ,18729,-26.8,1298.4 ,-45.6,28260,32256
160,PG&E,24000,29 ,18469,7.8,-1318.0 ,NULL,97856,23241
161,CDW,10000,17 ,18468,2.4,788.5 ,7.0,9345,23292
162,Sherwin-Williams,61031,18 ,18362,2.6,2030.4 ,31.7,20402,65837
163,L3Harris Technologies,48000,87 ,18194,41.5,1119.0 ,-16.1,36960,41664
164,Macy's,75711,-44 ,18097,-28.6,-3944.0 ,-799.3,17706,5028
165,ManpowerGroup,25000,-7 ,18001,-13.7,23.8 ,-94.9,9328,5434
166,NextEra Energy,14900,6 ,17997,-6.3,2919.0 ,-22.6,127684,148305
167,Tenet Healthcare,97900,7 ,17640,-4.5,399.0 ,NULL,27106,5537
168,Avnet,14600,1 ,17634,-9.7,-31.1 ,-117.6,8105,4128
169,General Mills,35000,23 ,17627,4.5,2181.2 ,24.4,30807,37403
170,WestRock,49300,7 ,17579,-3.9,-690.9 ,-180.1,28780,13716
171,Carrier Global,56000,NULL,17456,NULL,1982.0 ,NULL,25093,36701
172,Lincoln National,10966,16 ,17439,1.0,499.0 ,-43.7,365948,11953
173,Genuine Parts,50000,-2 ,17384,-10.4,-29.1 ,-104.7,13440,16692
174,American Airlines Group,102700,-104 ,17337,-62.1,-8885.0 ,-627.0,62008,15329
175,Marsh & McLennan,76000,20 ,17224,3.4,2016.0 ,15.7,33049,62055
176,Applied Materials,24000,42 ,17202,17.8,3619.0 ,33.7,22353,122600
177,Becton Dickinson,72000,10 ,17117,-1.0,874.0 ,-29.1,54012,70650
178,Delta Air Lines,74000,-110 ,17095,-63.6,-12385.0 ,-359.8,71996,30810
179,Lear,174600,-13 ,17046,-14.0,158.5 ,-79.0,13199,10896
180,Bank of New York Mellon,48500,-21 ,16940,-18.6,3617.0 ,-18.6,469633,41471
181,Emerson Electric,83500,-5 ,16785,-8.6,1965.0 ,-14.8,22882,54135
182,Western Digital,63800,16 ,16736,1.0,-250.0 ,NULL,25662,20432
183,Occidental Petroleum,11800,-35 ,16680,-24.1,-14831.0 ,NULL,80064,24849
184,Nvidia,18975,108 ,16675,52.7,4332.0 ,54.9,28791,331037
185,Cognizant Technology Solutions,289500,9 ,16652,-0.8,1392.0 ,-24.4,16923,41452
186,Jones Lang LaSalle,90800,-7 ,16590,-7.7,402.5 ,-24.8,14317,9151
187,Synchrony Financial,16500,-17 ,16472,-15.4,1385.0 ,-63.0,95948,23741
188,Colgate-Palmolive,34200,15 ,16471,5.0,2695.0 ,13.9,15920,66810
189,AECOM,54000,-26 ,16391,-18.8,-186.4 ,NULL,12999,9470
190,XPO Logistics,119750,6 ,16252,-2.4,110.0 ,-73.7,16169,12602
191,C.H. Robinson Worldwide,14888,17 ,16207,5.9,506.4 ,-12.2,5144,12515
192,BlackRock,16500,27 ,16205,11.5,4932.0 ,10.2,176982,115080
193,Dominion Energy,17300,4 ,16128,-2.7,-401.0 ,-129.5,95905,61224
194,Rocket Companies,24000,NULL,15981,204.3,198.0 ,NULL,37535,45821
195,Kohl's,73000,-30 ,15955,-20.1,-163.0 ,-123.6,15337,9394
196,Fluor,43717,-15 ,15884,-9.6,-435.0 ,NULL,7310,3252
197,DISH Network,13500,54 ,15493,21.0,1762.7 ,25.9,38240,19048
198,BJ's Wholesale Club,32000,45 ,15430,17.0,421.0 ,124.9,5412,6157
199,Tenneco,73000,-14 ,15379,-11.9,-1521.0 ,NULL,11852,876
200,United Airlines Holdings,74400,-124 ,15355,-64.5,-7069.0 ,-334.9,59548,18325
201,Mastercard,21000,-10 ,15301,-9.4,6411.0 ,-21.0,33584,353687
202,Waste Management,48250,5 ,15218,-1.5,1496.0 ,-10.4,29345,54452
203,PBF Energy,3729,-78 ,15116,-38.3,-1392.4 ,-535.9,10500,1700
204,American Electric Power,16787,NULL,14919,-4.1,2200.1 ,14.5,80757,42067
205,Fiserv,44000,106 ,14852,45.8,958.0 ,7.3,74619,79693
206,Principal Financial,17400,-5 ,14742,-9.1,1395.8 ,0.1,296628,16346
207,Reinsurance Group of America,3600,18 ,14596,2.1,415.0 ,-52.3,84656,8568
208,Automatic Data Processing,58000,19 ,14590,2.9,2466.5 ,7.6,39166,80654
209,Stanley Black & Decker,58350,11 ,14535,0.6,1233.8 ,29.1,23566,32152
210,Texas Instruments,30000,12 ,14461,0.5,5595.0 ,11.5,19351,174439
211,Halliburton,40000,-69 ,14445,-35.5,-2945.0 ,NULL,20680,19070
212,Stryker,43000,2 ,14351,-3.6,1599.0 ,-23.2,34330,91665
213,Estée Lauder,48000,2 ,14294,-3.8,684.0 ,-61.7,17781,105509
214,Corteva,21000,20 ,14217,2.7,681.0 ,NULL,42649,34529
215,Freeport-McMoRan,24500,6 ,14198,-1.4,599.0 ,NULL,42144,48028
216,Qurate Retail,26424,23 ,14177,5.3,1204.0 ,NULL,16999,4881
217,Wayfair,16122,131 ,14145,55.0,185.0 ,NULL,4570,32645
218,Laboratory Corp. of America,68780,56 ,13979,21.0,1556.1 ,88.9,20072,24891
219,Land O'Lakes,9000,13 ,13949,0.4,264.9 ,28.7,9186,NULL
220,PPG Industries,46900,-11 ,13834,-8.7,1059.0 ,-14.8,19556,35604
221,Gap,117000,-22 ,13800,-15.8,-665.0 ,-289.5,13769,11165
222,Kellogg,31000,15 ,13770,1.4,1251.0 ,30.3,17996,21545
223,Parker-Hannifin,50520,1 ,13696,-4.4,1206.3 ,-20.2,19738,40716
224,Core-Mark Holding,7534,16 ,13617,2.2,63.2 ,9.5,1955,1747
225,Jacobs Engineering Group,53500,-19 ,13578,-12.2,491.8 ,-42.0,12354,16816
226,Edison International,13209,33 ,13578,10.0,739.0 ,-42.4,69372,22229
227,Guardian Life Ins. Co. of America,8871,11 ,13562,0.6,23.5 ,-96.5,85425,NULL
228,Biogen,9100,-5 ,13445,-6.5,4000.6 ,-32.1,24619,42616
229,Omnicom Group,64100,-18 ,13171,-11.9,945.4 ,-29.4,27647,15946
230,Unum Group,10500,36 ,13162,9.7,793.0 ,-27.9,70626,5670
231,Lithia Motors,14538,21 ,13124,3.6,470.3 ,73.2,7902,10467
232,American Family Insurance Group,13225,22 ,13075,3.5,403.2 ,-11.6,33942,NULL
233,Discover Financial Services,17600,-2 ,12953,-7.4,1141.0 ,-61.4,112889,29100
234,Adobe,22516,51 ,12868,15.2,5260.0 ,78.2,24284,227227
235,Aramark,209325,-35 ,12830,-20.9,-461.5 ,-202.9,15713,9595
236,Otis Worldwide,69000,NULL,12756,NULL,906.0 ,NULL,10710,29418
237,Ecolab,44000,-24 ,12749,-14.5,-1205.1 ,-177.3,18126,61241
238,AutoZone,80000,30 ,12632,6.5,1733.0 ,7.2,14424,30946
239,Loews,12200,-27 ,12583,-15.7,-931.0 ,-199.9,80236,13698
240,Illinois Tool Works,43000,-11 ,12574,-10.9,2109.0 ,-16.3,15612,70107
241,Fidelity National Information Services,62000,62 ,12552,21.5,158.0 ,-47.0,83842,87337
242,Ross Stores,93700,-40 ,12532,-21.9,85.4 ,-94.9,12718,42751
243,Peter Kiewit Sons',27000,64 ,12463,21.2,826.0 ,97.1,6440,NULL
244,Equitable Holdings,12400,89 ,12415,29.4,-648.0 ,NULL,275397,14208
245,WESCO International,18000,134 ,12326,47.5,100.6 ,-55.0,11880,4341
246,Goodyear Tire & Rubber,62000,-30 ,12321,-16.4,-1254.0 ,NULL,16506,4099
247,Fox,9000,33 ,12303,8.0,999.0 ,-37.4,21750,21022
248,Leidos Holdings,39000,41 ,12297,10.8,628.0 ,-5.8,12511,13609
249,Consolidated Edison,14071,7 ,12246,-2.6,1101.0 ,-18.0,62895,25613
250,DTE Energy,10600,3 ,12177,-3.9,1368.0 ,17.0,45496,25793
251,Charles Schwab,32000,20 ,12109,2.7,3299.0 ,-10.9,549009,122691
252,State Street,39439,-8 ,12078,-8.0,2420.0 ,7.9,314706,29554
253,Ameriprise Financial,12300,-8 ,11958,-8.7,1534.0 ,-19.0,165883,27104
254,Viatris,45000,NULL,11946,NULL,-669.9 ,NULL,61553,16863
255,Sempra Energy,14706,3 ,11940,-4.0,3932.0 ,79.0,66623,40133
256,Farmers Insurance Exchange,10004,-1 ,11870,-5.7,-116.4 ,-310.5,17853,NULL
257,L Brands,57350,-9 ,11847,-8.3,844.5 ,NULL,11571,17248
258,W.W. Grainger,22450,20 ,11797,2.7,695.0 ,-18.1,6295,20985
259,Community Health Systems,62500,-18 ,11789,-10.8,511.0 ,NULL,16006,1752
260,Ball,21500,19 ,11781,2.7,585.0 ,3.4,18252,27801
261,Berry Global Group,47000,97 ,11709,31.9,559.0 ,38.4,16701,8221
262,Kinder Morgan,10524,-20 ,11700,-11.4,119.0 ,-94.6,71973,37703
263,VF,48000,-30 ,11688,-15.7,679.4 ,-46.1,11133,31306
264,Baxter International,50000,18 ,11673,2.7,1102.0 ,10.1,20019,42657
265,Textron,33000,-29 ,11651,-14.5,309.0 ,-62.1,15443,12726
266,LKQ,44000,-9 ,11629,-7.0,638.4 ,18.0,12361,12801
267,Keurig Dr Pepper,27000,21 ,11618,4.5,1325.0 ,5.7,49779,48368
268,O'Reilly Automotive,70179,46 ,11605,14.3,1752.3 ,26.0,11597,35461
269,Crown Holdings,33264,3 ,11575,-0.8,579.0 ,13.5,16670,13092
270,Universal Health Services,78550,11 ,11559,1.6,944.0 ,15.8,13477,11351
271,DaVita,67000,-41 ,11551,-18.1,773.6 ,-4.6,16989,11790
272,Xcel Energy,11367,4 ,11526,NULL,1473.0 ,7.4,53957,35759
273,Newmont,14300,55 ,11497,18.0,2829.0 ,0.9,41369,48283
274,Vistra,5365,-4 ,11443,-3.1,636.0 ,-31.5,25208,8512
275,IQVIA Holdings,70000,15 ,11359,2.4,279.0 ,46.1,24564,37034
276,eBay,12700,19 ,11351,5.1,5667.0 ,217.3,19310,41671
277,Corning,50110,NULL,11303,-1.7,512.0 ,-46.7,30775,33466
278,Quanta Services,35800,-17 ,11203,-7.5,445.6 ,10.8,8398,12173
279,HollyFrontier,3891,-95 ,11184,-36.0,-601.4 ,-177.9,11507,5811
280,Bed Bath & Beyond,55000,-15 ,11159,-7.2,-613.8 ,NULL,7791,3533
281,Uber Technologies,22800,-53 ,11139,-21.3,-6768.0 ,NULL,33252,101438
282,Mutual of Omaha Insurance,5526,18 ,11098,6.1,698.1 ,157.2,47294,NULL
283,Conagra Brands,16500,51 ,11054,15.9,840.1 ,23.9,22304,18371
284,PulteGroup,5249,25 ,11036,8.1,1406.8 ,38.4,12206,13869
285,EOG Resources,2900,-99 ,11032,-36.5,-604.6 ,-122.1,35805,42332
286,Group 1 Automotive,12337,-22 ,10852,-9.9,286.5 ,64.7,5089,2855
287,Ally Financial,9500,-14 ,10780,-7.2,1085.0 ,-36.7,182165,16876
288,Fidelity National Financial,27058,87 ,10778,27.3,1427.0 ,34.4,50455,11839
289,Nordstrom,62000,-84 ,10715,-31.0,-690.0 ,-239.1,9538,5975
290,Discovery,9800,-3 ,10671,-4.2,1219.0 ,-41.1,34087,19356
291,Tractor Supply,32000,89 ,10620,27.2,749.0 ,33.2,7049,20577
292,CSX,19282,-25 ,10583,-11.3,2765.0 ,-17.0,39793,73231
293,Marriott International,121000,-136 ,10571,-49.6,-267.0 ,-121.0,24701,48220
294,FirstEnergy,12153,NULL,10435,-3.8,1079.0 ,18.3,44464,18872
295,Jones Financial (Edward Jones),50000,41 ,10165,6.7,1285.0 ,17.7,28320,NULL
295,BorgWarner,49700,17 ,10165,NULL,500.0 ,-33.0,16029,11081
297,Republic Services,35000,8 ,10154,-1.4,967.2 ,-9.9,23434,31683
298,Henry Schein,19000,6 ,10119,-1.8,403.8 ,-41.9,7773,9851
299,Expeditors Intl. of Washington,17480,90 ,10117,23.7,696.1 ,17.9,4928,18167
300,Entergy,13400,-7 ,10114,-7.0,1388.3 ,11.9,58239,20000
301,Advance Auto Parts,54000,29 ,10106,4.1,493.0 ,1.3,11840,12006
302,Assurant,13850,13 ,10095,0.1,441.8 ,15.5,44650,8209
303,Pacific Life,4083,-34 ,10062,-15.1,-671.0 ,-192.6,190672,NULL
304,Lam Research,11300,27 ,10045,4.1,2251.8 ,2.8,14559,85065
305,Boston Scientific,38000,-9 ,9913,-7.7,-82.0 ,-101.7,30777,54903
306,Altice USA,8900,21 ,9895,1.4,436.2 ,213.9,33377,15394
307,Norfolk Southern,20156,-24 ,9789,-13.3,2013.0 ,-26.0,37962,67418
308,Sonic Automotive,8100,-7 ,9767,-6.6,-51.4 ,-135.7,3746,2038
309,Advanced Micro Devices,12600,139 ,9763,45.0,2490.0 ,630.2,8962,95347
310,United States Steel,23350,-63 ,9741,-24.7,-1165.0 ,NULL,12059,7034
311,Markel,18900,24 ,9735,2.2,816.0 ,-54.4,41710,15700
312,ODP,37000,-15 ,9710,-8.8,-319.0 ,-422.2,5558,2317
313,AES,8162,-3 ,9660,-5.2,46.0 ,-84.8,34603,18180
314,Molson Coors Beverage,17000,-16 ,9654,-8.7,-949.0 ,-492.6,27331,11118
315,J.B. Hunt Transport Services,30309,31 ,9637,5.1,506.0 ,-2.0,5928,17766
316,KKR,1583,33 ,9630,5.6,2002.5 ,-0.1,79807,42353
317,Hormel Foods,19100,20 ,9609,1.2,908.1 ,-7.2,9908,25808
318,Public Service Enterprise Group,12788,-1 ,9603,-4.7,1905.0 ,12.5,50050,30412
319,Steel Dynamics,9625,-20 ,9602,-8.3,550.8 ,-17.9,9266,10722
320,Dick's Sporting Goods,33450,42 ,9584,9.5,530.3 ,78.3,7753,6799
321,Mohawk Industries,42000,NULL,9552,-4.2,515.6 ,-30.7,14328,13505
322,Murphy USA,7400,-60 ,9504,-21.5,386.1 ,149.4,2686,3901
